farm_id,lat,lon,date,temp_max,temp_min,temp,humidity,precip,windspeed,pressure,visibility,cloudcover,conditions,description,uvindex,sunrise,sunset
F001,10.546179,76.41653,2024-09-04,31.0,24.7,27.0,86.8,6.0,18.4,1010.2,5.1,66.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,7.0,06:14:38,18:31:54
F001,10.546179,76.41653,2024-09-05,32.0,25.0,27.5,85.2,1.4,25.9,1008.9,4.3,62.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,9.0,06:14:35,18:31:17
F001,10.546179,76.41653,2024-09-06,30.0,24.5,26.9,87.7,7.0,20.5,1009.6,7.8,61.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,7.0,06:14:32,18:30:40
F001,10.546179,76.41653,2024-09-07,31.0,24.0,27.3,86.2,4.0,20.5,1010.1,6.5,69.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,7.0,06:14:29,18:30:02
F001,10.546179,76.41653,2024-09-08,29.0,24.0,26.0,90.5,19.0,13.0,1010.7,4.9,89.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,6.0,06:14:25,18:29:25
F001,10.546179,76.41653,2024-09-09,30.0,24.9,26.8,88.4,16.0,16.6,1008.8,4.1,87.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,4.0,06:14:21,18:28:47
F001,10.546179,76.41653,2024-09-10,31.0,23.6,27.2,86.6,18.0,14.8,1008.6,5.8,73.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,7.0,06:14:18,18:28:09
F001,10.546179,76.41653,2024-09-11,31.0,24.0,26.2,90.4,7.4,11.2,1009.9,4.1,79.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,7.0,06:14:14,18:27:30
F001,10.546179,76.41653,2024-09-12,31.0,23.4,27.5,83.1,2.9,16.6,1010.2,5.2,64.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,8.0,06:14:10,18:26:52
F001,10.546179,76.41653,2024-09-13,32.4,24.0,28.0,79.7,2.2,18.4,1009.8,5.6,43.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,9.0,06:14:06,18:26:13
F001,10.546179,76.41653,2024-09-14,31.0,24.0,27.4,80.3,2.2,18.4,1009.7,5.7,62.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,7.0,06:14:02,18:25:35
F001,10.546179,76.41653,2024-09-15,32.0,24.0,27.8,80.1,4.4,20.5,1009.5,4.8,47.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,8.0,06:13:58,18:24:56
F001,10.546179,76.41653,2024-09-16,32.0,24.0,28.2,80.2,1.1,22.3,1009.8,5.1,46.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,9.0,06:13:54,18:24:17
F001,10.546179,76.41653,2024-09-17,32.0,25.0,27.9,80.9,1.0,25.9,1009.6,6.7,39.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,8.0,06:13:50,18:23:39
F001,10.546179,76.41653,2024-09-18,32.0,24.0,27.6,80.5,0.6,22.3,1008.1,5.7,38.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,9.0,06:13:45,18:23:00
F001,10.546179,76.41653,2024-09-19,32.0,24.0,27.4,80.2,1.6,14.8,1008.5,7.1,36.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,9.0,06:13:41,18:22:21
F001,10.546179,76.41653,2024-09-20,32.0,23.0,26.9,80.7,0.2,16.6,1008.6,7.9,42.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,9.0,06:13:37,18:21:42
F001,10.546179,76.41653,2024-09-21,32.0,23.7,27.6,80.6,3.0,18.4,1008.8,6.4,56.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,8.0,06:13:34,18:21:04
F001,10.546179,76.41653,2024-09-22,31.9,22.9,27.1,82.1,6.1,16.6,1008.3,8.9,57.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,8.0,06:13:30,18:20:25
F001,10.546179,76.41653,2024-09-23,28.0,23.5,26.4,88.9,4.8,17.8,1008.0,6.5,70.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,7.0,06:13:26,18:19:47
F001,10.546179,76.41653,2024-09-24,31.0,23.0,26.4,84.0,4.0,14.8,1007.6,6.6,78.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,7.0,06:13:23,18:19:08
F001,10.546179,76.41653,2024-09-25,31.0,23.0,27.0,83.1,0.2,15.7,1007.4,4.7,62.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,7.0,06:13:19,18:18:30
F001,10.546179,76.41653,2024-09-26,31.0,23.8,27.0,84.6,1.9,22.3,1007.9,7.8,76.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,8.0,06:13:16,18:17:52
F001,10.546179,76.41653,2024-09-27,31.0,24.0,27.5,83.3,6.0,16.6,1009.2,7.0,62.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,8.0,06:13:13,18:17:14
F001,10.546179,76.41653,2024-09-28,32.0,22.8,27.8,82.1,1.5,18.4,1009.2,8.3,73.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,9.0,06:13:10,18:16:37
F001,10.546179,76.41653,2024-09-29,34.0,24.8,28.3,82.6,27.0,16.6,1009.0,4.4,77.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,9.0,06:13:07,18:15:59
F001,10.546179,76.41653,2024-09-30,34.0,24.2,28.3,81.2,0.6,7.6,1009.2,7.2,77.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,8.0,06:13:05,18:15:22
F001,10.546179,76.41653,2024-10-01,32.0,23.9,28.0,83.6,5.0,14.8,1008.1,5.0,61.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,8.0,06:13:03,18:14:45
F001,10.546179,76.41653,2024-10-02,32.0,25.0,27.5,84.1,3.4,14.5,1009.2,4.4,72.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,9.0,06:13:01,18:14:09
F001,10.546179,76.41653,2024-10-03,32.0,25.0,27.8,83.3,1.0,13.0,1009.9,5.6,69.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,7.0,06:12:59,18:13:33
